SR_Number,Unnamed: 0,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Assigned,# ACTIVITY=Closed,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer,# ACTIVITY=Unmatched,# ACTIVITY=Cancelled,lead_time
1-722011393,11477,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD698,in,Japan,4.33,4.282,42331.213,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,1965.396
1-722011393,11478,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,in,Japan,5.422,1.092,42332.305,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,1965.396
1-722011393,11479,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD698,in,Japan,5.466,0.044,42332.349,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,1965.396
1-722011393,11480,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,in,Japan,81.05,75.584,42407.933,Friday,3,1,0,0,0,1,0,0,0,0,0,0,0,1965.396
1-722011393,11481,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD698,in,Japan,81.828,0.778,42408.711,Friday,4,1,0,0,0,1,0,0,0,0,0,0,0,1965.396
1-722011393,11482,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,in,Japan,84.706,2.878,42411.589,Friday,4,1,0,0,0,2,0,0,0,0,0,0,0,1965.396
1-722011393,11483,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD698,in,Japan,84.995,0.289,42411.878,Friday,5,1,0,0,0,2,0,0,0,0,0,0,0,1965.396
1-722011393,11484,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,in,Japan,88.49,3.495,42415.373,Friday,5,1,0,0,0,3,0,0,0,0,0,0,0,1965.396
1-722011393,11485,Completed,Resolved,V3_2,Org line C,G97,Low,PROD698,in,Japan,88.608,0.118,42415.491,Friday,6,1,0,0,0,3,0,0,0,0,0,0,0,1965.396
1-722011393,11486,Completed,Closed,V3_2,Org line C,G97,Low,PROD698,in,0,755.381,666.773,43082.264,Friday,6,1,1,0,0,3,0,0,0,0,0,0,0,1965.396
1-722011393,11487,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,in,Japan,1906.15,1150.769,44233.033,Friday,6,1,1,0,1,3,0,0,0,0,0,0,0,1965.396
1-722011393,11488,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Low,PROD698,in,Japan,1912.29,6.14,44239.173,Friday,7,1,1,0,1,3,0,0,0,0,0,0,0,1965.396
1-722011393,11489,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1912.539,0.249,44239.422,Friday,7,2,1,0,1,3,0,0,0,0,0,0,0,1965.396
1-722011393,11490,Accepted,Assigned,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1912.575,0.036,44239.458,Friday,8,2,1,0,1,3,0,0,0,0,0,0,0,1965.396
1-722011393,11491,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1912.729,0.154,44239.612,Friday,8,2,1,1,1,3,0,0,0,0,0,0,0,1965.396
1-722011393,11492,Accepted,Wait,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1912.749,0.02,44239.632,Friday,9,2,1,1,1,3,0,0,0,0,0,0,0,1965.396
1-722011393,11493,Accepted,Wait - User,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1913.336,0.587,44240.219,Friday,9,2,1,1,1,3,0,1,0,0,0,0,0,1965.396
1-722011393,11494,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1916.999,3.663,44243.882,Friday,9,2,1,1,1,4,0,1,0,0,0,0,0,1965.396
1-722011393,11495,Completed,Resolved,E_10,Org line B,G230 2nd,Low,PROD698,in,INDIA,1917.102,0.103,44243.985,Friday,10,2,1,1,1,4,0,1,0,0,0,0,0,1965.396
1-722036421,11570,Accepted,In Progress,V3_2,Org line C,S37,Low,PROD551,se,Sweden,0.0,0.0,42333.562,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11571,Accepted,In Progress,V3_2,Org line C,S37,Low,PROD551,se,Sweden,0.048,0.048,42333.61,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11572,Queued,Awaiting Assignment,V3_2,Org line C,G49,Low,PROD551,se,Sweden,0.534,0.486,42334.096,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11573,Accepted,In Progress,V3_2,Org line C,G49,Low,PROD551,se,Sweden,0.545,0.011,42334.107,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11574,Queued,Awaiting Assignment,A2_3,Org line A2,S35 2nd,Low,PROD551,se,Sweden,0.661,0.116,42334.223,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11575,Accepted,In Progress,A2_3,Org line A2,S35 2nd,Low,PROD551,se,Sweden,6.83,6.169,42340.392,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11576,Accepted,Wait,A2_3,Org line A2,S35 2nd,Low,PROD551,se,Sweden,176.261,169.431,42509.823,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,1267.122
1-722036421,11577,Completed,Resolved,A2_3,Org line A2,S35 2nd,Low,PROD551,se,Sweden,1220.6,1044.339,43554.162,Friday,4,2,0,0,0,0,0,1,0,0,0,0,0,1267.122
1-722064650,11630,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD424,pl,INDIA,0.0,0.0,42337.361,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1289.819
1-722064650,11631,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD424,pl,INDIA,0.026,0.026,42337.387,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,1289.819
1-722064650,11632,Accepted,Wait - User,V3_2,Org line C,G96,Low,PROD424,pl,INDIA,0.415,0.389,42337.776,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,1289.819
1-722064650,11633,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD424,pl,INDIA,76.467,76.052,42413.828,Friday,2,0,0,0,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11634,Queued,Awaiting Assignment,E_7,Org line C,G165 2nd,Low,PROD424,pl,INDIA,76.596,0.129,42413.957,Friday,3,0,0,0,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11635,Accepted,In Progress,E_7,Org line C,G165 2nd,Low,PROD424,pl,INDIA,81.736,5.14,42419.097,Friday,3,1,0,0,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11636,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,82.033,0.297,42419.394,Friday,4,1,0,0,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11637,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,162.346,80.313,42499.707,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11638,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,162.352,0.006,42499.713,Friday,5,2,0,0,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11639,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,165.993,3.641,42503.354,Friday,5,2,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11640,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,165.998,0.005,42503.359,Friday,6,2,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11641,Queued,Awaiting Assignment,E_7,Org line C,G165 2nd,Low,PROD424,pl,INDIA,166.042,0.044,42503.403,Friday,7,2,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11642,Accepted,In Progress,E_7,Org line C,G165 2nd,Low,PROD424,pl,INDIA,175.2,9.158,42512.561,Friday,7,3,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11643,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,181.61,6.41,42518.971,Friday,8,3,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11644,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,Sweden,226.796,45.186,42564.157,Friday,8,4,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11645,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,pl,Sweden,226.802,0.006,42564.163,Friday,9,4,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11646,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,531.806,305.004,42869.167,Friday,9,5,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11647,Queued,Awaiting Assignment,E_7,Org line C,G165 2nd,Low,PROD424,pl,INDIA,533.076,1.27,42870.437,Friday,10,5,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11648,Accepted,In Progress,E_7,Org line C,G165 2nd,Low,PROD424,pl,INDIA,535.298,2.222,42872.659,Friday,10,6,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11649,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,537.82,2.522,42875.181,Friday,11,6,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11650,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,POLAND,607.061,69.241,42944.422,Friday,11,7,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11651,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD424,pl,POLAND,607.066,0.005,42944.427,Friday,12,7,0,1,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11652,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,607.274,0.208,42944.635,Friday,12,7,0,2,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11653,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,607.282,0.008,42944.643,Friday,13,7,0,2,0,1,0,0,0,0,0,0,0,1289.819
1-722064650,11654,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,1289.784,682.502,43627.145,Friday,13,7,0,2,0,2,0,0,0,0,0,0,0,1289.819
1-722064650,11655,Completed,Resolved,V3_2,Org line C,G97,Low,PROD424,pl,INDIA,1289.815,0.031,43627.176,Friday,14,7,0,2,0,2,0,0,0,0,0,0,0,1289.819
1-722070899,11657,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD236,be,Belgium,0.0,0.0,42337.513,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1349.639
1-722070899,11658,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD236,be,Belgium,0.027,0.027,42337.54,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,1349.639
1-722070899,11659,Completed,Resolved,A2_1,Org line C,D2,Medium,PROD236,be,Belgium,1293.926,1293.899,43631.439,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,1349.639
1-722135071,11726,Queued,Awaiting Assignment,V3_2,Org line C,G96,Low,PROD642,in,Sweden,0.0,0.0,42341.237,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11727,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD642,in,POLAND,4.109,4.109,42345.346,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11728,Queued,Awaiting Assignment,V3_2,Org line C,G96,Low,PROD642,in,POLAND,4.159,0.05,42345.396,Friday,1,1,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11729,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD642,in,Sweden,223.013,218.854,42564.25,Friday,1,2,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11730,Queued,Awaiting Assignment,V3_2,Org line C,G96,Low,PROD642,in,Sweden,223.017,0.004,42564.254,Friday,2,2,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11731,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD642,in,POLAND,516.521,293.504,42857.758,Friday,2,3,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11732,Accepted,Assigned,V3_2,Org line C,G96,Low,PROD642,in,POLAND,516.535,0.014,42857.772,Friday,3,3,0,0,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11733,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD642,in,POLAND,521.714,5.179,42862.951,Friday,3,3,0,1,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11734,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD642,in,POLAND,521.716,0.002,42862.953,Friday,4,3,0,1,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11735,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD642,in,POLAND,523.936,2.22,42865.173,Friday,5,3,0,1,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11736,Accepted,Wait - User,V3_2,Org line C,G96,Low,PROD642,in,POLAND,524.013,0.077,42865.25,Friday,6,3,0,1,0,0,0,0,0,0,0,0,0,2296.556
1-722135071,11737,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Low,PROD642,in,POLAND,525.757,1.744,42866.994,Friday,6,3,0,1,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11738,Accepted,In Progress,E_10,Org line B,G230 2nd,Low,PROD642,in,INDIA,526.039,0.282,42867.276,Friday,6,4,0,1,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11739,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD642,in,INDIA,530.556,4.517,42871.793,Friday,7,4,0,1,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11740,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,597.992,67.436,42939.229,Friday,7,5,0,1,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11741,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD642,in,POLAND,598.041,0.049,42939.278,Friday,8,5,0,1,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11742,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,685.633,87.592,43026.87,Friday,8,5,0,2,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11743,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD642,in,POLAND,686.066,0.433,43027.303,Friday,9,5,0,2,0,1,0,0,0,0,0,0,0,2296.556
1-722135071,11744,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,710.069,24.003,43051.306,Friday,9,5,0,2,0,2,0,0,0,0,0,0,0,2296.556
1-722135071,11745,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD642,in,POLAND,710.159,0.09,43051.396,Friday,10,5,0,2,0,2,0,0,0,0,0,0,0,2296.556
1-722135071,11746,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1283.047,572.888,43624.284,Friday,10,5,0,2,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11747,Completed,Resolved,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1283.18,0.133,43624.417,Friday,11,5,0,2,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11748,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD642,in,Sweden,1287.007,3.827,43628.244,Friday,11,5,1,2,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11749,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1291.908,4.901,43633.145,Friday,11,6,1,2,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11750,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1291.911,0.003,43633.148,Friday,12,6,1,2,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11751,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1294.919,3.008,43636.156,Friday,12,6,1,3,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11752,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1295.377,0.458,43636.614,Friday,13,6,1,3,0,3,0,0,0,0,0,0,0,2296.556
1-722135071,11753,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD642,in,POLAND,1304.507,9.13,43645.744,Friday,13,6,1,3,0,4,0,0,0,0,0,0,0,2296.556
1-722135071,11754,Queued,Awaiting Assignment,A2_4,Org line A2,M24 2nd,Low,PROD642,in,POLAND,1304.7,0.193,43645.937,Friday,14,6,1,3,0,4,0,0,0,0,0,0,0,2296.556
1-722135071,11755,Accepted,In Progress,A2_4,Org line A2,M24 2nd,Low,PROD642,in,Sweden,1312.938,8.238,43654.175,Friday,14,7,1,3,0,4,0,0,0,0,0,0,0,2296.556
1-722135071,11756,Accepted,In Progress,A2_4,Org line A2,M24 2nd,Low,PROD642,in,Sweden,1312.954,0.016,43654.191,Friday,15,7,1,3,0,4,0,0,0,0,0,0,0,2296.556
1-722135071,11757,Accepted,Wait - User,A2_4,Org line A2,M24 2nd,Low,PROD642,in,Sweden,1402.551,89.597,43743.788,Friday,16,7,1,3,0,4,0,0,0,0,0,0,0,2296.556
1-722135071,11758,Queued,Awaiting Assignment,V3_2,Org line C,M6,Low,PROD642,in,Sweden,1644.681,242.13,43985.918,Friday,16,7,1,3,0,5,0,0,0,0,0,0,0,2296.556
1-722135071,11759,Accepted,In Progress,A2_4,Org line A2,M24 2nd,Low,PROD642,in,Sweden,1645.17,0.489,43986.407,Friday,16,8,1,3,0,5,0,0,0,0,0,0,0,2296.556
1-722135071,11760,Completed,Resolved,A2_4,Org line A2,M24 2nd,Low,PROD642,in,Sweden,1645.448,0.278,43986.685,Friday,17,8,1,3,0,5,0,0,0,0,0,0,0,2296.556
1-722557908,12412,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD698,pl,INDIA,0.0,0.0,42361.16,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12413,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD698,pl,INDIA,0.021,0.021,42361.181,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12414,Queued,Awaiting Assignment,A2_2,Org line A2,G22 2nd,Low,PROD698,pl,INDIA,0.169,0.148,42361.329,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12415,Accepted,In Progress,A2_2,Org line A2,G22 2nd,Low,PROD698,pl,Sweden,9.155,8.986,42370.315,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12416,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD698,pl,Sweden,9.48,0.325,42370.64,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12417,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,pl,INDIA,53.44,43.96,42414.6,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12418,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD698,pl,INDIA,53.451,0.011,42414.611,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,1351.304
1-722557908,12419,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD698,pl,INDIA,1351.287,1297.836,43712.447,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,1351.304
1-722557908,12420,Completed,Resolved,V3_2,Org line C,G97,Low,PROD698,pl,INDIA,1351.3,0.013,43712.46,Friday,5,2,0,0,0,1,0,0,0,0,0,0,0,1351.304
1-722579031,12589,Accepted,In Progress,A2_2,Org line A2,G29 3rd,Low,PROD797,se,POLAND,0.0,0.0,42362.391,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12590,Accepted,In Progress,A2_2,Org line A2,G29 3rd,Low,PROD797,se,POLAND,0.03,0.03,42362.421,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12591,Queued,Awaiting Assignment,A2_2,Org line A2,G217 3rd,Low,PROD797,se,POLAND,0.18,0.15,42362.571,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12592,Accepted,In Progress,A2_2,Org line A2,G217 3rd,Low,PROD797,se,POLAND,0.253,0.073,42362.644,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12593,Queued,Awaiting Assignment,A2_2,Org line A2,G29 3rd,Low,PROD797,se,POLAND,1.322,1.069,42363.713,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12594,Accepted,In Progress,A2_2,Org line A2,G29 3rd,Low,PROD797,se,POLAND,59.522,58.2,42421.913,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12595,Accepted,Wait - User,A2_2,Org line A2,G29 3rd,Low,PROD797,se,POLAND,59.552,0.03,42421.943,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,2275.394
1-722579031,12596,Completed,Resolved,A2_2,Org line A2,G29 3rd,Low,PROD797,se,POLAND,1638.356,1578.804,44000.747,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,2275.394
1-722698931,12712,Queued,Awaiting Assignment,V3_2,Org line C,G359,Low,PROD498,pl,Sweden,0.0,0.0,42380.883,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,2343.216
1-722698931,12713,Accepted,In Progress,V3_2,Org line C,G359,Low,PROD498,pl,Brazil,9.96,9.96,42390.843,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,2343.216
1-722698931,12714,Accepted,In Progress,V3_2,Org line C,G359,Low,PROD498,pl,Brazil,9.967,0.007,42390.85,Friday,1,1,0,0,0,0,0,0,0,0,0,0,0,2343.216
1-722698931,12715,Queued,Awaiting Assignment,E_10,Org line C,G236 2nd,Low,PROD498,pl,Brazil,10.203,0.236,42391.086,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,2343.216
1-722698931,12716,Accepted,In Progress,E_10,Org line C,G236 2nd,Low,PROD498,pl,Sweden,34.807,24.604,42415.69,Friday,2,2,0,0,0,0,0,0,0,0,0,0,0,2343.216
1-722698931,12717,Accepted,Wait - User,E_10,Org line C,G236 2nd,Low,PROD498,pl,Sweden,55.859,21.052,42436.742,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,2343.216
1-722698931,12718,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD498,pl,Sweden,64.005,8.146,42444.888,Friday,3,2,0,0,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12719,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,Sweden,184.31,120.305,42565.193,Friday,3,3,0,0,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12720,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD498,pl,Sweden,184.314,0.004,42565.197,Friday,4,3,0,0,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12721,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,565.015,380.701,42945.898,Friday,4,4,0,0,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12722,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,565.021,0.006,42945.904,Friday,5,4,0,0,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12723,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,Brazil,591.969,26.948,42972.852,Friday,5,4,0,1,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12724,Accepted,Wait,V3_2,Org line C,G97,Low,PROD498,pl,Brazil,591.981,0.012,42972.864,Friday,6,4,0,1,0,1,0,0,0,0,0,0,0,2343.216
1-722698931,12725,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD498,pl,Brazil,595.776,3.795,42976.659,Friday,6,4,0,1,0,1,0,1,0,0,0,0,0,2343.216
1-722698931,12726,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,640.731,44.955,43021.614,Friday,6,4,0,2,0,1,0,1,0,0,0,0,0,2343.216
1-722698931,12727,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,640.76,0.029,43021.643,Friday,7,4,0,2,0,1,0,1,0,0,0,0,0,2343.216
1-722698931,12728,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,646.524,5.764,43027.407,Friday,7,4,0,3,0,1,0,1,0,0,0,0,0,2343.216
1-722698931,12729,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,646.959,0.435,43027.842,Friday,8,4,0,3,0,1,0,1,0,0,0,0,0,2343.216
1-722698931,12730,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,651.99,5.031,43032.873,Friday,8,4,0,3,0,2,0,1,0,0,0,0,0,2343.216
1-722698931,12731,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,652.096,0.106,43032.979,Friday,9,4,0,3,0,2,0,1,0,0,0,0,0,2343.216
1-722698931,12732,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,659.17,7.074,43040.053,Friday,9,4,0,3,0,3,0,1,0,0,0,0,0,2343.216
1-722698931,12733,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,659.251,0.081,43040.134,Friday,10,4,0,3,0,3,0,1,0,0,0,0,0,2343.216
1-722698931,12734,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1178.472,519.221,43559.355,Friday,10,4,0,3,0,4,0,1,0,0,0,0,0,2343.216
1-722698931,12735,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1178.731,0.259,43559.614,Friday,11,4,0,3,0,4,0,1,0,0,0,0,0,2343.216
1-722698931,12736,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1181.361,2.63,43562.244,Friday,11,4,0,3,0,5,0,1,0,0,0,0,0,2343.216
1-722698931,12737,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1182.413,1.052,43563.296,Friday,12,4,0,3,0,5,0,1,0,0,0,0,0,2343.216
1-722698931,12738,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1256.563,74.15,43637.446,Friday,12,4,0,3,0,6,0,1,0,0,0,0,0,2343.216
1-722698931,12739,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1256.597,0.034,43637.48,Friday,13,4,0,3,0,6,0,1,0,0,0,0,0,2343.216
1-722698931,12740,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD498,pl,POLAND,1271.434,14.837,43652.317,Friday,13,4,0,3,0,7,0,1,0,0,0,0,0,2343.216
1-722698931,12741,Queued,Awaiting Assignment,E_10,Org line C,G236 2nd,Low,PROD498,pl,POLAND,1271.597,0.163,43652.48,Friday,14,4,0,3,0,7,0,1,0,0,0,0,0,2343.216
1-722698931,12742,Accepted,In Progress,E_10,Org line C,G236 2nd,Low,PROD498,pl,Sweden,1272.15,0.553,43653.033,Friday,14,5,0,3,0,7,0,1,0,0,0,0,0,2343.216
1-722698931,12743,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD498,pl,Sweden,1272.635,0.485,43653.518,Friday,15,5,0,3,0,7,0,1,0,0,0,0,0,2343.216
