,SR_Number,Unnamed: 0,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),time_from_midnight,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Assigned,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=Closed,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer
2570,1-704747578,2867,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD424,fr,POLAND,2435.929,0.479,43050.444,Friday,6,1,1,0,0,1,0,0,1,0,0
2571,1-704747578,2868,Queued,Awaiting Assignment,V3_2,Org line C,V26,Low,PROD424,fr,POLAND,2435.935,0.006,43050.45,Friday,6,2,1,0,0,1,0,0,1,0,0
2572,1-704747578,2869,Accepted,In Progress,V3_2,Org line C,V26,Low,PROD424,fr,France,2436.512,0.577,43051.027,Friday,7,2,1,0,0,1,0,0,1,0,0
2573,1-704804641,2871,Queued,Awaiting Assignment,V3_2,Org line G2,S8,Medium,PROD124,br,Brazil,0.0,0.0,40645.097,Friday,0,1,0,0,0,0,0,0,0,0,0
2574,1-704849848,2873,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,0.0,0.0,40624.7,Friday,1,0,0,0,0,0,0,0,0,0,0
2575,1-704849848,2874,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,0.021,0.021,40624.721,Friday,2,0,0,0,0,0,0,0,0,0,0
2576,1-704849848,2875,Queued,Awaiting Assignment,missing,Org line V7,V35 2nd,Medium,PROD542,be,Belgium,0.689,0.668,40625.389,Friday,2,1,0,0,0,0,0,0,0,0,0
2577,1-704849848,2876,Accepted,In Progress,missing,Org line V7,V35 2nd,Medium,PROD542,be,Belgium,10.675,9.986,40635.375,Friday,3,1,0,0,0,0,0,0,0,0,0
2578,1-704849848,2877,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,10.73,0.055,40635.43,Friday,3,2,0,0,0,0,0,0,0,0,0
2579,1-704849848,2878,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,13.12,2.39,40637.82,Friday,4,2,0,0,0,0,0,0,0,0,0
2580,1-704849848,2879,Accepted,Assigned,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,13.254,0.134,40637.954,Friday,4,2,0,0,0,1,0,0,0,0,0
2581,1-704849848,2880,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,67.429,54.175,40692.129,Friday,5,2,0,0,0,1,0,0,0,0,0
2582,1-704849848,2881,Accepted,Wait - User,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,67.486,0.057,40692.186,Friday,5,2,0,1,0,1,0,0,0,0,0
2583,1-704849848,2882,Queued,Awaiting Assignment,missing,Org line V7,V35 2nd,Medium,PROD542,be,Belgium,497.713,430.227,41122.413,Friday,5,3,0,1,0,1,0,0,0,0,0
2584,1-704849848,2883,Accepted,In Progress,missing,Org line V7,V35 2nd,Medium,PROD542,be,Belgium,511.573,13.86,41136.273,Friday,6,3,0,1,0,1,0,0,0,0,0
2585,1-704849848,2884,Accepted,Wait,missing,Org line V7,V35 2nd,Medium,PROD542,be,Belgium,511.584,0.011,41136.284,Friday,6,3,0,1,0,1,1,0,0,0,0
2586,1-704849848,2885,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Belgium,685.132,173.548,41309.832,Friday,6,4,0,1,0,1,1,0,0,0,0
2587,1-704849848,2886,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Netherlands,685.621,0.489,41310.321,Friday,7,4,0,1,0,1,1,0,0,0,0
2588,1-704849848,2887,Accepted,Wait,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Netherlands,685.625,0.004,41310.325,Friday,7,4,0,1,0,1,2,0,0,0,0
2589,1-704849848,2888,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD542,be,Netherlands,1022.862,337.237,41647.562,Friday,7,5,0,1,0,1,2,0,0,0,0
2590,1-704849848,2889,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,1027.94,5.078,41652.64,Friday,8,5,0,1,0,1,2,0,0,0,0
2591,1-704849848,2890,Accepted,Wait - User,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,1028.219,0.279,41652.919,Friday,8,5,0,2,0,1,2,0,0,0,0
2592,1-704849848,2891,Accepted,In Progress,missing,Org line V7,V35 2nd,Medium,PROD542,be,Belgium,1640.849,612.63,42265.549,Friday,9,5,0,2,0,1,2,0,0,0,0
2593,1-704849848,2892,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Belgium,1640.985,0.136,42265.685,Friday,9,6,0,2,0,1,2,0,0,0,0
2594,1-704849848,2893,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Netherlands,1645.226,4.241,42269.926,Friday,10,6,0,2,0,1,2,0,0,0,0
2595,1-704849848,2894,Queued,Awaiting Assignment,missing,Org line V7,V34 2nd,Medium,PROD542,be,Netherlands,1645.343,0.117,42270.043,Friday,10,7,0,2,0,1,2,0,0,0,0
2596,1-704849848,2895,Accepted,In Progress,missing,Org line V7,V34 2nd,Medium,PROD542,be,Sweden,1645.513,0.17,42270.213,Friday,11,7,0,2,0,1,2,0,0,0,0
2597,1-704868231,2897,Accepted,In Progress,missing,Other,V46 2nd,Medium,PROD308,be,Sweden,0.0,0.0,40620.28,Friday,1,0,0,0,0,0,0,0,0,0,0
2598,1-704868231,2898,Accepted,In Progress,missing,Other,V46 2nd,Medium,PROD308,be,Sweden,0.049,0.049,40620.329,Friday,2,0,0,0,0,0,0,0,0,0,0
2599,1-704868231,2899,Queued,Awaiting Assignment,missing,Other,A3,Medium,PROD308,be,Sweden,2.851,2.802,40623.131,Friday,2,1,0,0,0,0,0,0,0,0,0
2600,1-704868231,2900,Accepted,In Progress,missing,Other,A3,Medium,PROD308,be,United Kingdom,354.805,351.954,40975.085,Friday,3,1,0,0,0,0,0,0,0,0,0
2601,1-704868231,2901,Accepted,Wait,missing,Other,A3,Medium,PROD308,be,United Kingdom,354.811,0.006,40975.091,Friday,3,1,0,0,0,0,1,0,0,0,0
2602,1-704940021,2903,Accepted,In Progress,A2_4,Org line A2,G118 2nd,Low,PROD591,se,Sweden,0.0,0.0,40625.817,Friday,1,0,0,0,0,0,0,0,0,0,0
2603,1-704940021,2904,Accepted,In Progress,A2_4,Org line A2,G118 2nd,Low,PROD591,se,Sweden,0.061,0.061,40625.878,Friday,2,0,0,0,0,0,0,0,0,0,0
2604,1-704940021,2905,Accepted,Wait - User,A2_4,Org line A2,G118 2nd,Low,PROD591,se,Sweden,62.558,62.497,40688.375,Friday,2,0,0,1,0,0,0,0,0,0,0
2605,1-704946941,2907,Accepted,In Progress,missing,Org line G4,G52 3rd,Medium,PROD604,se,Sweden,0.0,0.0,40625.734,Friday,1,0,0,0,0,0,0,0,0,0,0
2606,1-704946941,2908,Accepted,In Progress,missing,Org line G4,G52 3rd,Medium,PROD604,se,Sweden,0.041,0.041,40625.775,Friday,2,0,0,0,0,0,0,0,0,0,0
2607,1-704946941,2909,Queued,Awaiting Assignment,E_1,Org line C,G55 2nd,Medium,PROD604,se,Sweden,0.421,0.38,40626.155,Friday,2,1,0,0,0,0,0,0,0,0,0
2608,1-704946941,2910,Accepted,In Progress,E_1,Org line C,G55 2nd,Medium,PROD604,se,Sweden,6.385,5.964,40632.119,Friday,3,1,0,0,0,0,0,0,0,0,0
2609,1-704985732,2912,Accepted,In Progress,missing,Org line I,U1,Medium,PROD209,in,South Africa,0.0,0.0,40630.958,Friday,1,0,0,0,0,0,0,0,0,0,0
2610,1-704985732,2913,Accepted,In Progress,missing,Org line I,U1,Medium,PROD209,in,South Africa,0.691,0.691,40631.649,Friday,2,0,0,0,0,0,0,0,0,0,0
2611,1-704985732,2914,Queued,Awaiting Assignment,E_10,Org line C,G231 2nd,Medium,PROD209,in,South Africa,0.776,0.085,40631.734,Friday,2,1,0,0,0,0,0,0,0,0,0
2612,1-704985732,2915,Accepted,In Progress,E_10,Org line C,G231 2nd,Medium,PROD209,in,INDIA,2.204,1.428,40633.162,Friday,3,1,0,0,0,0,0,0,0,0,0
2613,1-704985732,2916,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Medium,PROD209,in,INDIA,2.288,0.084,40633.246,Friday,3,2,0,0,0,0,0,0,0,0,0
2614,1-704985732,2917,Accepted,In Progress,E_10,Org line B,G230 2nd,Medium,PROD209,in,INDIA,2.326,0.038,40633.284,Friday,4,2,0,0,0,0,0,0,0,0,0
2615,1-704985732,2918,Queued,Awaiting Assignment,missing,Org line I,U1,Medium,PROD209,in,INDIA,3.52,1.194,40634.478,Friday,4,3,0,0,0,0,0,0,0,0,0
2616,1-704985732,2919,Accepted,In Progress,missing,Org line I,U1,Medium,PROD209,in,South Africa,58.388,54.868,40689.346,Friday,5,3,0,0,0,0,0,0,0,0,0
2617,1-704985732,2920,Accepted,Wait - User,missing,Org line I,U1,Medium,PROD209,in,South Africa,58.464,0.076,40689.422,Friday,5,3,0,1,0,0,0,0,0,0,0
2618,1-704985732,2921,Accepted,In Progress,missing,Org line I,U1,Medium,PROD209,in,South Africa,63.085,4.621,40694.043,Friday,6,3,0,1,0,0,0,0,0,0,0
2619,1-704985732,2922,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Medium,PROD209,in,South Africa,63.378,0.293,40694.336,Friday,6,4,0,1,0,0,0,0,0,0,0
2620,1-704985732,2923,Accepted,In Progress,E_10,Org line B,G230 2nd,Medium,PROD209,in,INDIA,63.505,0.127,40694.463,Friday,7,4,0,1,0,0,0,0,0,0,0
2621,1-704985732,2924,Accepted,Assigned,E_10,Org line B,G230 2nd,Medium,PROD209,in,INDIA,63.539,0.034,40694.497,Friday,7,4,0,1,0,1,0,0,0,0,0
2622,1-704985732,2925,Accepted,In Progress,E_10,Org line B,G230 2nd,Medium,PROD209,in,INDIA,68.206,4.667,40699.164,Friday,8,4,0,1,0,1,0,0,0,0,0
2623,1-704985732,2926,Accepted,Wait,E_10,Org line B,G230 2nd,Medium,PROD209,in,INDIA,68.215,0.009,40699.173,Friday,8,4,0,1,0,1,1,0,0,0,0
2624,1-704985732,2927,Queued,Awaiting Assignment,missing,Org line I,U1,Medium,PROD209,in,INDIA,78.414,10.199,40709.372,Friday,8,5,0,1,0,1,1,0,0,0,0
2625,1-704985732,2928,Accepted,In Progress,missing,Org line I,U1,Medium,PROD209,in,South Africa,78.679,0.265,40709.637,Friday,9,5,0,1,0,1,1,0,0,0,0
2626,1-704985732,2929,Accepted,Wait - User,missing,Org line I,U1,Medium,PROD209,in,South Africa,78.888,0.209,40709.846,Friday,9,5,0,2,0,1,1,0,0,0,0
2627,1-704985732,2930,Queued,Awaiting Assignment,E_10,Org line B,G230 2nd,Medium,PROD209,in,South Africa,491.448,412.56,41122.406,Friday,9,6,0,2,0,1,1,0,0,0,0
2628,1-705039067,2932,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.0,0.0,40632.76,Friday,1,0,0,0,0,0,0,0,0,0,0
2629,1-705039067,2933,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.018,0.018,40632.778,Friday,2,0,0,0,0,0,0,0,0,0,0
2630,1-705039067,2934,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.263,0.245,40633.023,Friday,2,1,0,0,0,0,0,0,0,0,0
2631,1-705039067,2935,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.367,0.104,40633.127,Friday,3,1,0,0,0,0,0,0,0,0,0
2632,1-705039067,2936,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD424,se,POLAND,0.372,0.005,40633.132,Friday,3,1,0,0,0,1,0,0,0,0,0
2633,1-705039067,2937,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,72.5,72.128,40705.26,Friday,4,1,0,0,0,1,0,0,0,0,0
2634,1-705039067,2938,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD424,se,POLAND,74.966,2.466,40707.726,Friday,4,1,0,1,0,1,0,0,0,0,0
2635,1-705039067,2939,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1038.771,963.805,41671.531,Friday,4,1,0,2,0,1,0,0,0,0,0
2636,1-705039067,2940,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1102.698,63.927,41735.458,Friday,5,1,0,2,0,1,0,0,0,0,0
2637,1-705039067,2941,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1102.712,0.014,41735.472,Friday,5,1,0,3,0,1,0,0,0,0,0
2638,1-705039067,2942,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1111.857,9.145,41744.617,Friday,6,1,0,3,0,1,0,0,0,0,0
2639,1-705039067,2943,Accepted,Wait - User,V3_2,Org line C,G97,Low,PROD424,se,POLAND,1112.843,0.986,41745.603,Friday,6,1,0,4,0,1,0,0,0,0,0
2640,1-705039821,2945,Accepted,In Progress,A2_4,Org line A2,G304 2nd,Low,PROD570,be,Belgium,0.0,0.0,40636.544,Friday,1,0,0,0,0,0,0,0,0,0,0
2641,1-705039821,2946,Accepted,In Progress,A2_4,Org line A2,G304 2nd,Low,PROD570,be,Belgium,0.014,0.014,40636.558,Friday,2,0,0,0,0,0,0,0,0,0,0
2642,1-705039821,2947,Accepted,Wait - User,A2_4,Org line A2,G304 2nd,Low,PROD570,be,Belgium,0.07,0.056,40636.614,Friday,2,0,0,1,0,0,0,0,0,0,0
2643,1-705039821,2948,Queued,Awaiting Assignment,A2_4,Org line A2,G328 2nd,Low,PROD570,be,Belgium,324.178,324.108,40960.722,Friday,2,1,0,1,0,0,0,0,0,0,0
2644,1-705050337,2950,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,0.0,0.0,40634.812,Friday,1,0,0,0,0,0,0,0,0,0,0
2645,1-705050337,2951,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,be,Belgium,0.007,0.007,40634.819,Friday,2,0,0,0,0,0,0,0,0,0,0
2646,1-705050337,2952,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Belgium,0.246,0.239,40635.058,Friday,2,1,0,0,0,0,0,0,0,0,0
2647,1-705050337,2953,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Netherlands,54.339,54.093,40689.151,Friday,3,1,0,0,0,0,0,0,0,0,0
2648,1-705050337,2954,Accepted,Wait,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Netherlands,54.345,0.006,40689.157,Friday,3,1,0,0,0,0,1,0,0,0,0
2649,1-705050337,2955,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,be,Netherlands,500.38,446.035,41135.192,Friday,4,1,0,0,0,0,1,0,0,0,0
2650,1-705050337,2956,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,be,Netherlands,501.393,1.013,41136.205,Friday,4,2,0,0,0,0,1,0,0,0,0
2651,1-705050337,2957,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,be,Netherlands,512.451,11.058,41147.263,Friday,5,2,0,0,0,0,1,0,0,0,0
2652,1-705084201,2959,Accepted,In Progress,A2_1,Org line A2,N29 2nd,High,PROD700,se,USA,0.0,0.0,40638.726,Friday,1,0,0,0,0,0,0,0,0,0,0
2653,1-705084201,2960,Accepted,In Progress,A2_1,Org line A2,N29 2nd,High,PROD700,se,USA,0.11,0.11,40638.836,Friday,2,0,0,0,0,0,0,0,0,0,0
2654,1-705084201,2961,Accepted,Wait - User,A2_1,Org line A2,N29 2nd,High,PROD700,se,USA,3.44,3.33,40642.166,Friday,2,0,0,1,0,0,0,0,0,0,0
2655,1-705084201,2962,Accepted,In Progress,E_5,Org line C,G77,High,PROD700,se,INDIA,7.85,4.41,40646.576,Friday,3,0,0,1,0,0,0,0,0,0,0
2656,1-705084201,2963,Accepted,In Progress,E_5,Org line C,G77,High,PROD700,se,INDIA,7.879,0.029,40646.605,Friday,4,0,0,1,0,0,0,0,0,0,0
2657,1-705084201,2964,Queued,Awaiting Assignment,A2_1,Org line A2,M19 2nd,High,PROD700,se,INDIA,7.891,0.012,40646.617,Friday,4,1,0,1,0,0,0,0,0,0,0
2658,1-705084201,2965,Accepted,In Progress,A2_1,Org line A2,M19 2nd,High,PROD700,se,Sweden,54.06,46.169,40692.786,Friday,5,1,0,1,0,0,0,0,0,0,0
2659,1-705084201,2966,Accepted,Wait - Customer,A2_1,Org line A2,M19 2nd,High,PROD700,se,Sweden,54.066,0.006,40692.792,Friday,5,1,0,1,0,0,0,0,0,0,1
2660,1-705084201,2967,Queued,Awaiting Assignment,E_1,Org line C,G55 2nd,High,PROD700,se,Sweden,58.012,3.946,40696.738,Friday,5,2,0,1,0,0,0,0,0,0,1
2661,1-705084201,2968,Accepted,In Progress,E_1,Org line C,G55 2nd,High,PROD700,se,Sweden,60.416,2.404,40699.142,Friday,6,2,0,1,0,0,0,0,0,0,1
2662,1-705084201,2969,Queued,Awaiting Assignment,missing,Org line G4,G51 2nd,High,PROD700,se,Sweden,64.094,3.678,40702.82,Friday,6,3,0,1,0,0,0,0,0,0,1
2663,1-705084201,2970,Accepted,In Progress,missing,Org line G4,G51 2nd,High,PROD700,se,Sweden,64.287,0.193,40703.013,Friday,7,3,0,1,0,0,0,0,0,0,1
2664,1-705084201,2971,Queued,Awaiting Assignment,E_1,Org line C,G55 2nd,High,PROD700,se,Sweden,73.97,9.683,40712.696,Friday,7,4,0,1,0,0,0,0,0,0,1
2665,1-705084201,2972,Accepted,In Progress,E_1,Org line C,G55 2nd,High,PROD700,se,INDIA,75.762,1.792,40714.488,Friday,8,4,0,1,0,0,0,0,0,0,1
2666,1-705084201,2973,Queued,Awaiting Assignment,E_1,Org line C,G55 2nd,High,PROD700,se,Sweden,76.918,1.156,40715.644,Friday,8,5,0,1,0,0,0,0,0,0,1
2667,1-705084201,2974,Accepted,In Progress,E_1,Org line C,G55 2nd,High,PROD700,se,Sweden,79.174,2.256,40717.9,Friday,9,5,0,1,0,0,0,0,0,0,1
2668,1-705084201,2975,Queued,Awaiting Assignment,missing,Org line G4,G51 2nd,High,PROD700,se,Sweden,83.548,4.374,40722.274,Friday,9,6,0,1,0,0,0,0,0,0,1
2669,1-705084201,2976,Accepted,In Progress,missing,Org line G4,G51 2nd,High,PROD700,se,Sweden,83.903,0.355,40722.629,Friday,10,6,0,1,0,0,0,0,0,0,1
2670,1-705084201,2977,Queued,Awaiting Assignment,A2_1,Org line A2,D4,High,PROD700,se,Sweden,84.31,0.407,40723.036,Friday,10,7,0,1,0,0,0,0,0,0,1
2671,1-705084201,2978,Accepted,In Progress,A2_1,Org line A2,D4,High,PROD700,se,Brazil,84.361,0.051,40723.087,Friday,11,7,0,1,0,0,0,0,0,0,1
2672,1-705084201,2979,Queued,Awaiting Assignment,A2_1,Org line A2,J14 2nd,High,PROD700,se,Brazil,84.419,0.058,40723.145,Friday,11,8,0,1,0,0,0,0,0,0,1
2673,1-705084201,2980,Accepted,In Progress,A2_1,Org line A2,J14 2nd,High,PROD700,se,Sweden,85.533,1.114,40724.259,Friday,12,8,0,1,0,0,0,0,0,0,1
2674,1-705084201,2981,Queued,Awaiting Assignment,A2_1,Org line A2,D4,High,PROD700,se,Sweden,85.633,0.1,40724.359,Friday,12,9,0,1,0,0,0,0,0,0,1
2675,1-705084201,2982,Accepted,In Progress,A2_1,Org line A2,D4,High,PROD700,se,Brazil,85.695,0.062,40724.421,Friday,13,9,0,1,0,0,0,0,0,0,1
2676,1-705164933,2984,Accepted,In Progress,V3_2,Org line C,N38,Medium,PROD267,us,USA,0.0,0.0,40647.791,Friday,1,0,0,0,0,0,0,0,0,0,0
2677,1-705164933,2985,Accepted,In Progress,V3_2,Org line C,N38,Medium,PROD267,us,USA,0.034,0.034,40647.825,Friday,2,0,0,0,0,0,0,0,0,0,0
2678,1-705201889,2987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD158,pl,POLAND,0.0,0.0,40691.389,Friday,1,0,0,0,0,0,0,0,0,0,0
2679,1-705201889,2988,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD158,pl,POLAND,0.006,0.006,40691.395,Friday,2,0,0,0,0,0,0,0,0,0,0
2680,1-705201889,2989,Queued,Awaiting Assignment,A2_1,Org line A2,D4,Medium,PROD158,pl,POLAND,0.164,0.158,40691.553,Friday,2,1,0,0,0,0,0,0,0,0,0
2681,1-705201889,2990,Accepted,In Progress,A2_1,Org line A2,D4,Medium,PROD158,pl,INDIA,0.388,0.224,40691.777,Friday,3,1,0,0,0,0,0,0,0,0,0
2682,1-705201889,2991,Queued,Awaiting Assignment,missing,Org line V11,V50 2nd,Medium,PROD158,pl,INDIA,0.446,0.058,40691.835,Friday,3,2,0,0,0,0,0,0,0,0,0
2683,1-705201889,2992,Accepted,In Progress,missing,Org line V11,V50 2nd,Medium,PROD158,pl,United Kingdom,13.099,12.653,40704.488,Friday,4,2,0,0,0,0,0,0,0,0,0
2684,1-705201889,2993,Accepted,Wait,missing,Org line V11,V50 2nd,Medium,PROD158,pl,United Kingdom,13.291,0.192,40704.68,Friday,4,2,0,0,0,0,1,0,0,0,0
2685,1-705201889,2994,Queued,Awaiting Assignment,A2_1,Org line A2,D4,Medium,PROD158,pl,United Kingdom,13.687,0.396,40705.076,Friday,4,3,0,0,0,0,1,0,0,0,0
2686,1-705201889,2995,Accepted,In Progress,A2_1,Org line A2,D4,Medium,PROD158,pl,INDIA,14.293,0.606,40705.682,Friday,5,3,0,0,0,0,1,0,0,0,0
2687,1-705201889,2996,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD158,pl,INDIA,14.436,0.143,40705.825,Friday,5,4,0,0,0,0,1,0,0,0,0
2688,1-705201889,2997,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD158,pl,POLAND,32.404,17.968,40723.793,Friday,6,4,0,0,0,0,1,0,0,0,0
2689,1-705201889,2998,Accepted,Assigned,A2_1,Org line A2,D8,Medium,PROD158,pl,POLAND,32.41,0.006,40723.799,Friday,6,4,0,0,0,1,1,0,0,0,0
2690,1-705201889,2999,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD158,pl,POLAND,267.427,235.017,40958.816,Friday,7,4,0,0,0,1,1,0,0,0,0
2691,1-705201889,3000,Completed,Resolved,A2_1,Org line A2,D8,Medium,PROD158,pl,POLAND,267.569,0.142,40958.958,Friday,7,4,1,0,0,1,1,0,0,0,0
2692,1-705201889,3001,Completed,Closed,A2_1,Org line A2,D8,Medium,PROD158,pl,0,316.706,49.137,41008.095,Friday,7,4,1,0,0,1,1,0,1,0,0
2693,1-705739949,3003,Accepted,In Progress,V3_2,Org line C,S37,Medium,PROD274,se,Sweden,0.0,0.0,40688.963,Friday,1,0,0,0,0,0,0,0,0,0,0
2694,1-705739949,3004,Accepted,In Progress,V3_2,Org line C,S37,Medium,PROD274,se,Sweden,0.081,0.081,40689.044,Friday,2,0,0,0,0,0,0,0,0,0,0
2695,1-705739949,3005,Accepted,In Progress,V3_2,Org line C,S37,Medium,PROD274,se,Sweden,0.425,0.344,40689.388,Friday,3,0,0,0,0,0,0,0,0,0,0
2696,1-705770183,3007,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD606,se,POLAND,0.0,0.0,40693.341,Friday,1,0,0,0,0,0,0,0,0,0,0
2697,1-705770183,3008,Accepted,In Progress,V3_2,Org line C,G96,Low,PROD606,se,POLAND,0.058,0.058,40693.399,Friday,2,0,0,0,0,0,0,0,0,0,0
2698,1-705770183,3009,Queued,Awaiting Assignment,missing,Org line V3,V3,Low,PROD606,se,POLAND,0.39,0.332,40693.731,Friday,2,1,0,0,0,0,0,0,0,0,0
2699,1-705770183,3010,Accepted,In Progress,missing,Org line V3,V3,Low,PROD606,se,POLAND,40.992,40.602,40734.333,Friday,3,1,0,0,0,0,0,0,0,0,0
2700,1-705770183,3011,Queued,Awaiting Assignment,V3_2,Org line C,G97,Low,PROD606,se,POLAND,41.113,0.121,40734.454,Friday,3,2,0,0,0,0,0,0,0,0,0
2701,1-705770183,3012,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD606,se,POLAND,263.748,222.635,40957.089,Friday,4,2,0,0,0,0,0,0,0,0,0
2702,1-705770183,3013,Accepted,Assigned,V3_2,Org line C,G97,Low,PROD606,se,POLAND,263.757,0.009,40957.098,Friday,4,2,0,0,0,1,0,0,0,0,0
2703,1-705770183,3014,Accepted,In Progress,V3_2,Org line C,G97,Low,PROD606,se,POLAND,268.115,4.358,40961.456,Friday,5,2,0,0,0,1,0,0,0,0,0
2704,1-705770183,3015,Accepted,Wait,V3_2,Org line C,G97,Low,PROD606,se,POLAND,268.167,0.052,40961.508,Friday,5,2,0,0,0,1,1,0,0,0,0
2705,1-705791051,3017,Queued,Awaiting Assignment,missing,Other,S56,Medium,PROD193,se,Sweden,0.0,0.0,40699.939,Friday,0,1,0,0,0,0,0,0,0,0,0
2706,1-705791051,3018,Accepted,In Progress,missing,Other,S56,Medium,PROD193,se,POLAND,0.955,0.955,40700.894,Friday,1,1,0,0,0,0,0,0,0,0,0
2707,1-705791051,3019,Queued,Awaiting Assignment,missing,Org line G4,G9 2nd,Medium,PROD193,se,POLAND,0.989,0.034,40700.928,Friday,1,2,0,0,0,0,0,0,0,0,0
2708,1-705791341,3021,Queued,Awaiting Assignment,V3_2,Org line C,G311,Low,PROD454,be,Belgium,0.0,0.0,40715.527,Friday,0,1,0,0,0,0,0,0,0,0,0
2709,1-705791341,3022,Accepted,In Progress,V3_2,Org line C,G311,Low,PROD454,be,POLAND,0.291,0.291,40715.818,Friday,1,1,0,0,0,0,0,0,0,0,0
2710,1-705791341,3023,Accepted,Assigned,V3_2,Org line C,G311,Low,PROD454,be,POLAND,0.299,0.008,40715.826,Friday,1,1,0,0,0,1,0,0,0,0,0
2711,1-705791341,3024,Accepted,In Progress,V3_2,Org line C,G311,Low,PROD454,be,POLAND,0.369,0.07,40715.896,Friday,2,1,0,0,0,1,0,0,0,0,0
2712,1-705791341,3025,Accepted,In Progress,V3_2,Org line C,G311,Low,PROD454,be,POLAND,0.371,0.002,40715.898,Friday,3,1,0,0,0,1,0,0,0,0,0
2713,1-705791341,3026,Accepted,In Progress,V3_2,Org line C,G311,Low,PROD454,be,POLAND,0.919,0.548,40716.446,Friday,4,1,0,0,0,1,0,0,0,0,0
2714,1-705791341,3027,Queued,Awaiting Assignment,V3_2,Org line C,G322,Low,PROD454,be,POLAND,0.981,0.062,40716.508,Friday,4,2,0,0,0,1,0,0,0,0,0
2715,1-705791341,3028,Accepted,In Progress,V3_2,Org line C,G322,Low,PROD454,be,Belgium,1.199,0.218,40716.726,Friday,5,2,0,0,0,1,0,0,0,0,0
2716,1-705791341,3029,Accepted,Assigned,V3_2,Org line C,G322,Low,PROD454,be,Belgium,1.252,0.053,40716.779,Friday,5,2,0,0,0,2,0,0,0,0,0
2717,1-705845431,3031,Queued,Awaiting Assignment,V3_2,Org line C,G359,Medium,PROD388,se,Sweden,0.0,0.0,40725.66,Friday,0,1,0,0,0,0,0,0,0,0,0
